site,plot,subplot,individual_number,datasheet_number,Genus,Species,HeightN,maxDN,max90DN,total_minishrub,scientific_name_clean,volume
RR,03,wholeplot,10A,3,Cylindropuntia,versicolor,65,14,13,NA,Cylindropuntia versicolor,9291.260272991813
RR,03,wholeplot,1B,3,Prosopis,velutina,240,390,305,NA,Prosopis velutina,22421546.76867035
RR,03,wholeplot,3B,3,Dasylirion,wheeleri,55,100,50,NA,Dasylirion wheeleri,215984.49493429827
RR,03,wholeplot,4B,3,Dasylirion,wheeleri,90,132,152,NA,Dasylirion wheeleri,1418240.5875365762
RR,03,wholeplot,6B,3,Dasylirion,wheeleri,30,161,131,NA,Dasylirion wheeleri,496944.9799264674
RR,03,wholeplot,7B,3,Ferocactus,wislizeni,65,39,39,NA,Ferocactus wislizeni,77648.38942428872
RR,03,wholeplot,1C,3,Fouquieria,splendens,350,14,11,NA,Fouquieria splendens,42332.96100712246
RR,03,wholeplot,3C,3,Prosopis,velutina,281,410,322,NA,Prosopis velutina,29136402.614416443
RR,03,wholeplot,6C,3,Cylindropuntia,versicolor,129,147,90,NA,Cylindropuntia versicolor,1340415.4835255232
RR,03,wholeplot,7C,3,Fouquieria,splendens,295,20,13,NA,Fouquieria splendens,60240.03913258428
RR,03,wholeplot,8C,3,Prosopis,velutina,190,290,190,NA,Prosopis velutina,8222333.372607887
RR,03,wholeplot,9C,3,Cylindropuntia,versicolor,231,268,230,NA,Cylindropuntia versicolor,11183158.784910124
RR,03,wholeplot,10C,3,Dasylirion,wheeleri,118,170,156,NA,Dasylirion wheeleri,2457793.596609439
RR,03,wholeplot,1D,3,Dasylirion,wheeleri,118,140,135,NA,Dasylirion wheeleri,1751594.984008989
RR,04,wholeplot,1,7,Acacia,sp,142,254,165,99,Acacia sp. (unarmed),4674077.257974162
RR,04,wholeplot,2,7,Encelia,farinosa,52,139,92,99,Encelia farinosa,522270.9291033815
RR,04,wholeplot,3,7,Encelia,farinosa,76,105,103,99,Encelia farinosa,645550.1664228986
RR,04,1,7,3,Prosopis,velutina,157,153,130,NA,Prosopis velutina,2452586.406786114
RR,04,3,1,3,Fouquieria,splendens,364,14,10,NA,Fouquieria splendens,40023.89040673396
RR,04,3,4,3,Ferocactus,wislizeni,40,40,42,NA,Ferocactus wislizeni,52778.75658030853
RR,04,3,5,3,Fouquieria,splendens,265,17,14,NA,Fouquieria splendens,49535.062165477066
RR,04,3,9,3,Fouquieria,splendens,180,5,4,NA,Fouquieria splendens,2827.4333882308138
RR,04,3,10,3,Lycium,sp,168.6,248,231,NA,Lycium sp. (2),7585969.851422614
RR,04,4,4,3,Fouquieria,splendens,290,9,7,NA,Fouquieria splendens,14349.22444527138
RR,04,5,1,4,Fouquieria,splendens,317,17,9,NA,Fouquieria splendens,38092.596322939644
RR,04,7,6,4,Fouquieria,splendens,226,6,7,NA,Fouquieria splendens,7454.999366968579
RR,04,7,7,4,Cylindropuntia,versicolor,125,164,164,NA,Cylindropuntia versicolor,2640508.625342221
RR,04,7,8,4,Cylindropuntia,versicolor,127,125,97,NA,Cylindropuntia versicolor,1209414.9968616457
RR,04,7,9,4,Ferocactus,wislizeni,42,40,40,NA,Ferocactus wislizeni,52778.75658030852
RR,04,7,10,4,Fouquieria,splendens,293,10,11,NA,Fouquieria splendens,25313.38280629976
RR,04,8,1,4,Fouquieria,splendens,205,10,9,NA,Fouquieria splendens,14490.596114682921
RR,04,8,2,4,Fouquieria,splendens,326,14,12,NA,Fouquieria splendens,43014.68661295145
RR,05,wholeplot,1,7,Encelia,farinosa,70,94,61,94,Encelia farinosa,315243.11482446786
RR,05,wholeplot,2,7,Lycium,sp,137,195,119,94,Lycium sp. (2),2496847.520284377
RR,05,wholeplot,3,7,Encelia,farinosa,87,110,140,94,Encelia farinosa,1052276.4593199012
RR,05,1,9,3,Fouquieria,splendens,330,9,6,NA,Fouquieria splendens,13995.795271742527
RR,05,1,10,3,Fouquieria,splendens,299,6,3,NA,Fouquieria splendens,4227.012915405066
RR,05,2,2,3,Cylindropuntia,versicolor,108,137,111,NA,Cylindropuntia versicolor,1289903.3860447796
RR,05,2,5,3,Fouquieria,splendens,264,16,13,NA,Fouquieria splendens,43127.78394848068
RR,05,2,6,3,Fouquieria,splendens,425,17,9,NA,Fouquieria splendens,51070.515574919074
RR,05,3,6,3,Fouquieria,splendens,316,11,5,NA,Fouquieria splendens,13650.22007984765
RR,05,3,7,3,Fouquieria,splendens,274,18,11,NA,Fouquieria splendens,42609.42116063837
RR,05,5,1,4,Ferocactus,wislizeni,65,38,36,NA,Ferocactus wislizeni,69837.6046893011
RR,05,5,2,4,Fouquieria,splendens,371,12,18,NA,Fouquieria splendens,62938.66722201791
RR,05,6,1,4,Fouquieria,splendens,371,17,11,NA,Fouquieria splendens,54488.56838202477
RR,05,6,2,4,Fouquieria,splendens,161,8,5,NA,Fouquieria splendens,5057.964172279567
RR,05,6,3,4,Ferocactus,wislizeni,57,36,30,NA,Ferocactus wislizeni,48349.11093874691
RR,05,6,4,4,Fouquieria,splendens,417,14,11,NA,Fouquieria splendens,50436.699257057335
RR,05,6,5,4,Fouquieria,splendens,297,14,11,NA,Fouquieria splendens,35922.54119747249
RR,05,7,1,4,Fouquieria,splendens,246,16,7,NA,Fouquieria splendens,21639.290197926493
RR,05,7,2,4,Fouquieria,splendens,284,12,10,NA,Fouquieria splendens,26766.369408585037
RR,05,7,3,4,Cylindropuntia,versicolor,65,51,30,NA,Cylindropuntia versicolor,78107.84734987623
RR,05,8,9,4,Lycium,sp,168.6,240,210,NA,Lycium sp. (2),6673873.769580011
RR,05,8,10,4,Fouquieria,splendens,451,16,13,NA,Fouquieria splendens,73676.63091198783
RR,06,wholeplot,1,7,Encelia,farinosa,92,102,98,89,Encelia farinosa,722277.2838015221
RR,06,wholeplot,2,7,Lycium,sp,155,110,100,89,Lycium sp. (2),1339103.8685926495
RR,06,wholeplot,3,7,Encelia,farinosa,80,135,87,89,Encelia farinosa,737960.1143282424
RR,06,1,4,3,Fouquieria,splendens,260,11,7,NA,Fouquieria splendens,15723.671231216913
RR,06,1,5,3,Fouquieria,splendens,238,11,7,NA,Fouquieria splendens,14393.206742421637
RR,06,1,6,3,Fouquieria,splendens,236,12,6,NA,Fouquieria splendens,13345.48559244944
RR,06,2,6,3,Prosopis,velutina,214,360,160,NA,Prosopis velutina,9681131.921302306
RR,06,2,7,3,Fouquieria,splendens,200,12,10,NA,Fouquieria splendens,18849.55592153876
RR,06,3,2,3,Cylindropuntia,versicolor,190,254,250,NA,Cylindropuntia versicolor,9475828.841390215
RR,06,3,3,3,Fouquieria,splendens,318,7,8.5,NA,Fouquieria splendens,14860.518649643118
RR,06,3,4,3,Fouquieria,splendens,338,8,7,NA,Fouquieria splendens,14866.0164367869
RR,06,3,5,3,Prosopis,velutina,342,500,495,NA,Prosopis velutina,66480027.540777005
RR,06,4,2,3,Fouquieria,splendens,361,7,6,NA,Fouquieria splendens,11908.20695343211
RR,06,4,3,3,Fouquieria,splendens,191,7,5,NA,Fouquieria splendens,5250.386722311941
RR,06,4,4,3,Fouquieria,splendens,337,12,8,NA,Fouquieria splendens,25409.201382234245
RR,06,4,5,3,Prosopis,velutina,219,390,267,NA,Prosopis velutina,17910588.855252206
RR,06,4,6,3,Fouquieria,splendens,311,6,5,NA,Fouquieria splendens,7327.764864498192
RR,06,5,2,4,Fouquieria,splendens,238,8,5,NA,Fouquieria splendens,7476.990515543707
RR,06,5,3,4,Cylindropuntia,versicolor,50,26,1,NA,Cylindropuntia versicolor,1021.0176124166828
RR,06,6,2,4,Fouquieria,splendens,235,6,4,NA,Fouquieria splendens,4429.6456415616085
RR,06,8,2,4,Fouquieria,splendens,396,14,11,NA,Fouquieria splendens,47896.721596629985
RR,06,8,3,4,Cylindropuntia,versicolor,146,259,160,NA,Cylindropuntia versicolor,4751847.384113777
RR,06,7,2,4,Ferocactus,wislizeni,58,42,42,NA,Ferocactus wislizeni,80355.65689351974
RR,06,7,3,4,Fouquieria,splendens,359,18,12,NA,Fouquieria splendens,60902.91518249173
RR,06,7,4,4,Cylindropuntia,versicolor,137,152,80,NA,Cylindropuntia versicolor,1308410.508367077
RR,07,5,5,7,Acacia,greggii,84,200,196,102,Acacia greggii,2586159.072435118
RR,07,5,6,7,Encelia,farinosa,101,135,102,102,Encelia farinosa,1092308.2037082692
RR,07,5,7,7,Encelia,farinosa,88,75,45,102,Encelia farinosa,233263.25452904214
RR,07,1,1,3,Fouquieria,splendens,450,14,9,NA,Fouquieria splendens,44532.07586463532
RR,07,2,2,3,Parkinsonia,microphylla,254,250,217.2,NA,Parkinsonia microphylla,10832368.549210284
RR,07,3,2,3,Fouquieria,splendens,320,6,6,NA,Fouquieria splendens,9047.786842338604
RR,07,3,4,3,Cylindropuntia,versicolor,132,105,141,NA,Cylindropuntia versicolor,1534872.2148010973
RR,07,4,1,3,Cylindropuntia,versicolor,137,198,120,NA,Cylindropuntia versicolor,2556565.2696383023
RR,07,4,2,3,Cylindropuntia,versicolor,170,200,229,NA,Cylindropuntia versicolor,6115110.100212533
RR,07,5,1,4,Cylindropuntia,versicolor,61,219,206,NA,Cylindropuntia versicolor,2161379.6173542617
RR,07,6,1,4,Parkinsonia,microphylla,285.5,368,249,NA,Parkinsonia microphylla,20546751.087158184
RR,07,6,3,4,Fouquieria,splendens,280,6.5,4.5,NA,Fouquieria splendens,6432.410958225101
RR,07,6,8,4,Parkinsonia,microphylla,214,156,182,NA,Parkinsonia microphylla,4771991.276208595
RR,07,6,9,4,Mammillaria,grahamii,12,5,5,NA,Mammillaria grahamii,235.61944901923448
RR,07,7,1,4,Fouquieria,splendens,440,9,10,NA,Fouquieria splendens,31101.767270538952
RR,07,8,2,4,Fouquieria,splendens,382.5,8,5,NA,Fouquieria splendens,12016.591899980958
